CLASSDATASHOULDBEPRIVATE	COMPLEXCLASS	FUNCTIONALDECOMPOSITION	GODCLASS	ID	NAME	PATTERNROLE	PATTERNTYPE	SPAGHETTICODE
false	false	false	false	111	org.springframework.data.jpa.support.MergingPersistenceUnitManagerUnitTests			false
false	false	false	false	267	org.springframework.data.jpa.support.EntityManagerTestUtils			false
false	false	false	false	123	org.springframework.data.jpa.support.ClasspathScanningPersistenceUnitPostProcessorUnitTests			false
false	false	false	false	110	org.springframework.data.jpa.support.MergingPersistenceUnitManager			false
false	false	false	false	122	org.springframework.data.jpa.support.ClasspathScanningPersistenceUnitPostProcessor			false
false	false	false	false	395	org.springframework.data.jpa.util.JpaMetamodelUnitTests			false
false	false	false	false	407	org.springframework.data.jpa.util.JpaMetamodelCacheCleanupIntegrationTests			false
false	false	false	false	402	org.springframework.data.jpa.util.HibernateProxyDetector			false
false	false	false	false	344	org.springframework.data.jpa.util.JpaMetamodel			false
false	false	false	false	251	org.springframework.data.jpa.util.BeanDefinitionUtils			false
false	false	false	false	406	org.springframework.data.jpa.util.JpaMetamodelCacheCleanup			false
false	false	false	false	174	org.springframework.data.jpa.repository.EclipseLinkParentRepositoryIntegrationTests			false
false	false	false	false	350	org.springframework.data.jpa.repository.EclipseLinkRepositoryWithCompositeKeyIntegrationTests			false
false	false	false	false	114	org.springframework.data.jpa.repository.SimpleJpaParameterBindingTests			false
false	false	false	false	48	org.springframework.data.jpa.repository.NamespaceUserRepositoryTests			false
false	false	false	false	308	org.springframework.data.jpa.repository.CustomAbstractPersistableIntegrationTests			false
false	false	false	false	211	org.springframework.data.jpa.repository.RepositoryWithCompositeKeyTests			false
false	false	false	false	352	org.springframework.data.jpa.repository.RepositoryWithIdClassKeyTests			false
false	false	false	false	96	org.springframework.data.jpa.repository.RoleRepositoryIntegrationTests			false
false	false	false	false	128	org.springframework.data.jpa.repository.CrudMethodMetadataUnitTests			false
false	false	false	false	178	org.springframework.data.jpa.repository.OpenJpaUserRepositoryFinderTests			false
false	false	false	false	307	org.springframework.data.jpa.repository.AbstractPersistableIntegrationTests			false
false	false	false	false	294	org.springframework.data.jpa.repository.EntityGraphRepositoryMethodsIntegrationTests			false
false	false	false	false	351	org.springframework.data.jpa.repository.OpenJpaRepositoryWithCompositeKeyIntegrationTests			false
false	false	false	false	219	org.springframework.data.jpa.repository.RedeclaringRepositoryMethodsTests			false
false	false	false	false	327	org.springframework.data.jpa.repository.CustomEclipseLinkJpaVendorAdapter			false
false	false	false	false	176	org.springframework.data.jpa.repository.ParentRepositoryIntegrationTests			false
false	false	false	false	113	org.springframework.data.jpa.repository.EclipseLinkUserRepositoryFinderTests			false
false	false	false	false	197	org.springframework.data.jpa.repository.MappedTypeRepositoryIntegrationTests			false
false	false	false	false	295	org.springframework.data.jpa.repository.OpenJpaEntityGraphRepositoryMethodsIntegrationTests			false
false	false	false	false	50	org.springframework.data.jpa.repository.OpenJpaNamespaceUserRepositoryTests			false
false	true	false	true	52	org.springframework.data.jpa.repository.UserRepositoryTests			true
false	false	false	false	151	org.springframework.data.jpa.repository.SPR8954Tests			false
false	false	false	false	175	org.springframework.data.jpa.repository.OpenJpaParentRepositoryIntegrationTests			false
false	false	false	false	265	org.springframework.data.jpa.repository.UserRepositoryStoredProcedureIntegrationTests			false
false	false	false	false	415	org.springframework.data.jpa.repository.EntityWithAssignedIdIntegrationTests			false
false	false	false	false	320	org.springframework.data.jpa.repository.StoredProcedureIntegrationTests			false
false	false	false	false	144	org.springframework.data.jpa.repository.JavaConfigUserRepositoryTests			false
false	false	false	false	47	org.springframework.data.jpa.repository.EclipseLinkNamespaceUserRepositoryTests			false
false	false	false	false	318	org.springframework.data.jpa.repository.EclipseLinkStoredProcedureIntegrationTests			false
false	false	false	false	293	org.springframework.data.jpa.repository.EclipseLinkEntityGraphRepositoryMethodsIntegrationTests			false
false	false	false	false	49	org.springframework.data.jpa.repository.ORMInfrastructureTests			false
false	false	false	false	319	org.springframework.data.jpa.repository.OpenJpaStoredProcedureIntegrationTests			false
false	false	false	false	51	org.springframework.data.jpa.repository.UserRepositoryFinderTests			false
false	false	false	false	153	org.springframework.data.jpa.repository.CustomHsqlHibernateJpaVendorAdaptor			false
false	false	false	false	7	org.springframework.data.jpa.repository.JpaRepository			false
false	false	false	false	99	org.springframework.data.jpa.repository.JpaSpecificationExecutor			false
false	false	false	false	329	org.springframework.data.jpa.repository.JpaContext			false
false	false	false	false	72	org.springframework.data.jpa.repository.sample.UserRepository			false
false	false	false	false	321	org.springframework.data.jpa.repository.sample.DummyRepository			false
