CLASSDATASHOULDBEPRIVATE	COMPLEXCLASS	FUNCTIONALDECOMPOSITION	GODCLASS	ID	NAME	PATTERNROLE	PATTERNTYPE	SPAGHETTICODE
false	false	false	false	293	com.alibaba.arthas.tunnel.server.endpoint.ArthasEndpoint			false
false	false	false	false	215	com.alibaba.arthas.Pojo			false
false	false	false	false	216	com.alibaba.arthas.Test			false
false	false	false	false	320	one.profiler.Events			false
false	false	false	false	318	one.profiler.AsyncProfilerMXBean			false
false	false	false	false	317	one.profiler.AsyncProfiler	singleton	Singleton	false
false	false	false	false	499	java.arthas.SpyAPI			false
false	false	false	false	271	com.taobao.arthas.common.PidUtils			false
false	false	false	false	245	com.taobao.arthas.common.SocketUtils			false
false	false	false	false	297	com.taobao.arthas.common.ReflectException			false
false	false	false	false	253	com.taobao.arthas.common.UsageRender			false
false	false	false	false	247	com.taobao.arthas.common.OSUtils			false
false	false	false	false	252	com.taobao.arthas.common.JavaVersionUtils			false
false	false	false	false	701	com.taobao.arthas.common.Pair			false
false	false	false	false	486	com.taobao.arthas.common.FileUtils			false
true	false	false	false	673	com.taobao.arthas.common.ArthasConstants			false
false	false	false	false	218	com.taobao.arthas.common.AnsiLog			false
false	false	false	false	246	com.taobao.arthas.common.ExecutingCommand			false
false	false	false	false	243	com.taobao.arthas.common.IOUtils			false
false	false	false	false	298	com.taobao.arthas.common.ReflectUtils			false
false	false	false	false	502	com.taobao.arthas.common.concurrent.ReusableIterator			false
false	false	false	true	501	com.taobao.arthas.common.concurrent.ConcurrentWeakKeyHashMap			true
false	false	false	false	596	com.example.arthasspringbootstarterexample.ArthasSpringBootStarterExampleApplicationTests			false
false	false	false	false	595	com.example.arthasspringbootstarterexample.ArthasSpringBootStarterExampleApplication			false
false	false	false	false	572	com.alibaba.arthas.spring.StringUtilsTest			false
false	false	false	false	567	com.alibaba.arthas.spring.ArthasConfiguration			false
false	false	false	false	569	com.alibaba.arthas.spring.StringUtils			false
false	false	false	false	568	com.alibaba.arthas.spring.ArthasProperties			false
false	false	false	false	570	com.alibaba.arthas.spring.endpoints.ArthasEndPoint			false
false	false	false	false	571	com.alibaba.arthas.spring.endpoints.ArthasEndPointAutoConfiguration			false
false	false	false	false	309	com.taobao.arthas.core.command.basic1000.GrepCommandTest			false
false	false	false	false	61	com.taobao.arthas.core.command.basic1000.OptionsCommand			false
